name	date	location
HA|2022-wk09-10_HA_H5|EPI1990448	2022-02-01	North-Central
HA|2022-wk09-09_HA_H5|EPI1990440	2022-01-18	North-Central
HA|2022-wk09-08_HA_H5|EPI1990432	2021-12-23	North-Central
HA|2022-wk09-07_HA_H5|EPI1990424	2022-01-29	North-Central
HA|A/greylag_goose_/Sweden/SVA211111SZ0376/FB004497/M-2021|EPI1938852	2021-11-08	North-Eastern
HA|A/Eurasian_Curlew/Netherlands/2/2022_HA_H5N1_HPAI|EPI2097278	2022-07-03	North-Central
HA|A/barnacle_goose/Denmark/17572-1.01/2021-03-01|EPI1922851	2021-03-01	North-Eastern
HA|A/barnacle_goose/Netherlands/21024066-001/2021|EPI1859739	2021-02-22	North-Central
HA|2022-wk07-01_HA_H5|EPI1995282	2022-02-07	North-Central
HA|A/greylag_goose_/Sweden/SVA211118SZ0354/FB004497/I-2021|EPI1938868	2021-11-17	North-Eastern
HA|A/duck/Netherlands/21037958-001005/2021|EPI1924796	2021-11-03	North-Central
HA|A/Fox/Netherlands/EMC2/2022_HA|EPI2018075	2022-01-10	North-Central
HA|2021-wk47-01_HA_H5|EPI1929963	2021-10-27	North-Central
HA|2021-wk47-10_HA_H5|EPI1930027	2021-11-09	North-Central
HA|2021-wk47-08_HA_H5|EPI1930011	2021-11-05	North-Central
HA|2021-wk47-05_HA_H5|EPI1929987	2021-11-05	North-Central
HA|2021-wk47-03_HA_H5|EPI1929971	2021-10-31	North-Central
HA|2021-wk47-16_HA_H5|EPI1930067	2021-11-02	North-Central
HA|2021-wk47-15_HA_H5|EPI1930059	2021-11-04	North-Central
HA|2021-wk47-14_HA_H5|EPI1930051	2021-11-02	North-Central
HA|2021-wk47-13_HA_H5|EPI1930043	2021-11-01	North-Central
HA|2021-wk47-12_HA_H5|EPI1930035	2021-10-30	North-Central
HA|2021-wk47-25_HA_H5|EPI1930139	2021-11-13	North-Central
HA|2021-wk47-23_HA_H5|EPI1930123	2021-11-07	North-Central
HA|2021-wk47-22_HA_H5|EPI1930115	2021-11-09	North-Central
HA|2021-wk47-21_HA_H5|EPI1930107	2021-11-14	North-Central
HA|2021-wk47-20_HA_H5|EPI1930099	2021-11-11	North-Central
HA|2021-wk47-18_HA_H5|EPI1930083	2021-11-02	North-Central
HA|A/Branta_leucopsis/Belgium/14735_0001/2021|EPI1930158	2021-11-04	North-Central
HA|A/chicken/Croatia/7/2022|EPI1956834	2022-01-10	North-Central
HA|A/mute_swan/Croatia/6/2022|EPI1956833	2022-01-06	North-Central
HA|A/common_murre/Netherlands/21025491-002/2021|EPI1859803	2021-03-17	North-Central
HA|2022-wk15-01_HA_H5|EPI2018091	2022-03-25	North-Central
HA|2022-wk15-02_HA_H5|EPI2018099	2022-03-28	North-Central
HA|2022-wk15-03_HA_H5|EPI2018107	2022-03-27	North-Central
HA|2022-wk15-04_HA_H5|EPI2018115	2022-03-27	North-Central
HA|A/red_knot/Germany-SH/AI01010/2022|EPI1988853	2022-01-25	North-Central
HA|A/buzzard/Germany-BB/AI01212/2022|EPI1988861	2022-02-11	North-Central
HA|A/barnacle_goose/Netherlands/21025769-002/2021|EPI1859811	2021-03-22	North-Central
HA|A/barnacle_goose/Netherlands/21022611-001/2021|EPI1850253	2021-01-31	North-Central
HA|A/common_buzzard/Netherlands/21022834-002/2021|EPI1850269	2021-02-01	North-Central
HA|21VIR7689-7_HA|EPI1945530	2021-05-01	North-Eastern
HA|21VIR7689-9_HA|EPI1945538	2021-06-01	North-Eastern
HA|21VIR7689-6_HA|EPI1945522	2021-05-01	North-Eastern
HA|21VIR7689-15_HA|EPI1945485	2021-08-01	North-Eastern
HA|21VIR7512-8_HA|EPI1945389	2021-06-02	North-Eastern
HA|21VIR10433-11_HA|EPI1945373	2021-10-12	North-Eastern
HA|21VIR7512-6_HA|EPI1945381	2021-05-16	North-Eastern
HA|21VIR7689-13_HA|EPI1945469	2021-08-01	North-Eastern
HA|21VIR7689-12_HA|EPI1945461	2021-07-01	North-Eastern
HA|21VIR7689-10_HA|EPI1945445	2021-06-01	North-Eastern
HA|A/greylag_goose_/Sweden/SVA211103SZ0398/FB004410/M-2021|EPI1928247	2021-11-01	North-Eastern
HA|21VIR10433-13_HA|EPI1945585	2021-11-08	North-Eastern
HA|A/White_Stork/Sweden/SVA220310SZ0365/FB000564/M-2022|EPI2008508	2022-03-06	North-Eastern
HA|A/Greylag_goose/Sweden/SVA220308SZ0382/FB000559/M-2022|EPI2008521	2022-01-21	North-Eastern
HA|A/common_pheasant_/Sweden/SVA211104SZ0320/FB004417/M-2021|EPI1928255	2021-10-29	North-Eastern
HA|2022-wk03-06_HA_H5|EPI1966253	2022-01-01	North-Central
HA|2022-wk03-09_HA_H5|EPI1966278	2022-01-09	North-Central
HA|2022-wk03-08_HA_H5|EPI1966270	2022-01-04	North-Central
HA|2022-wk03-01_HA_H5|EPI1966213	2021-12-27	North-Central
HA|2022-wk03-02_HA_H5|EPI1966221	2021-12-27	North-Central
HA|2022-wk03-03_HA_H5|EPI1966229	2022-01-03	North-Central
HA|2022-wk03-04_HA_H5|EPI1966237	2021-12-25	North-Central
HA|A/Gallus_gallus/Belgium/3191_0001/2022|EPI2002649	2022-03-10	North-Central
HA|A/Gallus_gallus/Belgium/8092_0002/2022|EPI2077991	2022-06-20	North-Central
HA|A/Thalasseus_sandvicensis/Belgium/7473_0009/2022|EPI2077983	2022-06-04	North-Central
HA|A/Commen_Tern/Netherlands/3/2022_HA_H5N1_HPAI|EPI2082797	2022-06-13	North-Central
HA|A/Sandwich_Tern/Netherlands/9/2022_HA_H5N1_HPAI|EPI2082781	2022-06-12	North-Central
HA|A/Black-headed_gull/Netherlands/9/2022_HA_H5N1_HPAI|EPI2082773	2022-06-10	North-Central
HA|A/Black-headed_gull/Netherlands/8/2022_HA_H5N1_HPAI|EPI2082765	2022-06-10	North-Central
HA|A/Commen_Tern/Netherlands/2/2022_HA_H5N1_HPAI|EPI2082749	2022-06-10	North-Central
HA|A/Greylag_Goose/Netherlands/8/2022_HA_H5N1_HPAI|EPI2082741	2022-06-06	North-Central
HA|A/Greylag_Goose/Netherlands/4/2022_HA_H5N1_HPAI|EPI2082709	2022-06-06	North-Central
HA|A/Chicken/Sweden/SVA211130SZ0427/FB290424/M-2021|EPI1942186	2021-11-30	North-Eastern
HA|A/barnacle_goose/Sweden/SVA211221SZ0510/FB004867/2021|EPI1982563	2021-12-18	North-Eastern
HA|A/Eurasian_curlew/Germany-SH/AI05960/2021|EPI1945084	2021-10-14	North-Central
HA|A/Eurasian_wigeon/Germany-SH/AI05950/2021|EPI1945092	2021-10-14	North-Central
HA|A/Turkey/Sweden/SVA211212SZ0001/FB301013-IP2/M-2021|EPI1949326	2021-12-12	North-Eastern
HA|2022-wk05-33_HA_H5|EPI1981020	2022-01-31	North-Central
HA|2022-wk05-24_HA_H5|EPI1980980	2022-01-11	North-Central
HA|2022-wk05-28_HA_H5|EPI1981004	2022-01-24	North-Central
HA|2022-wk05-25_HA_H5|EPI1980988	2022-01-11	North-Central
HA|2022-wk05-31_HA_H5|EPI1981012	2022-01-31	North-Central
HA|2022-wk05-05_HA_H5|EPI1980868	2022-01-03	North-Central
HA|2022-wk05-06_HA_H5|EPI1980876	2022-01-13	North-Central
HA|2022-wk05-17_HA_H5|EPI1980932	2022-01-04	North-Central
HA|2022-wk05-16_HA_H5|EPI1980924	2022-01-03	North-Central
HA|2022-wk05-18_HA_H5|EPI1980940	2022-01-06	North-Central
HA|2022-wk05-20_HA_H5|EPI1980956	2022-01-06	North-Central
HA|2022-wk05-13_HA_H5|EPI1980900	2022-01-05	North-Central
HA|2022-wk05-15_HA_H5|EPI1980916	2022-01-04	North-Central
HA|2022-wk05-22_HA_H5|EPI1980964	2022-01-10	North-Central
HA|A/Mallard/Netherlands/1/2022_HA_H5N1_HPAI|EPI1994989	2022-02-12	North-Central
HA|22224-2T/2021_H5|EPI1940257	2021-11-12	North-Central
HA|A/red_fox/Netherlands/21040099-006/2021|EPI1988009	2021-12-03	North-Central
HA|A/mute_swan/Croatia/145/2021|EPI1949332	2021-12-29	North-Central
HA|A/mute_swan/Croatia/144/2021|EPI1949331	2021-12-27	North-Central
HA|2021-wk50-03_HA_H5|EPI1943557	2021-11-25	North-Central
HA|2021-wk50-01_HA_H5|EPI1943541	2021-11-24	North-Central
HA|22224-3T/2021_H5|EPI1940273	2021-11-12	North-Central
HA|H5N1_Seg4_HA_flu-2_S96|EPI2092553	2022-05-28	North-Eastern
HA|A/Mallard/Netherlands/5/2021_HA_H5N1_HPAI|EPI1995013	2021-11-29	North-Central
HA|A/Mallard/Netherlands/4/2021_HA_H5N1_HPAI|EPI1995005	2021-11-29	North-Central
HA|A/barnacle_goose/Sweden/SVA211221SZ0510/FB004869/2021|EPI1982581	2021-12-18	North-Eastern
HA|A/mute_swan/Czech_Republic/785/2022|EPI2021095	2022-01-10	North-Central
HA|A/gadwall/Croatia/108/2021|EPI1954257	2021-11-22	North-Central
HA|A/turkey/Poland/H1910-T3/2021|EPI1937607	2021-11-01	North-Eastern
HA|A/Sandwich_Tern/Netherlands/15/2022_HA_H5N1_HPAI|EPI2088982	2022-06-24	North-Central
HA|A/Sanderling/Netherlands/1/2022_HA_H5N1_HPAI|EPI1995045	2022-01-29	North-Central
HA|A/Common_Tern/Netherlands/7/2022_HA_H5N1_HPAI|EPI2089014	2022-06-20	North-Central
HA|A/Common_Tern/Netherlands/6/2022_HA_H5N1_HPAI|EPI2089006	2022-06-20	North-Central
HA|A/Whooper_Swan/Sweden/SVA211223SZ0332/FB004886/M-2021|EPI1994351	2021-12-21	North-Eastern
HA|A/Lesser_Black-backed_Gull/Netherlands/2/2022_HA_H5N1_HPAI|EPI2088887	2022-06-17	North-Central
HA|A/European_Herring_Gull/Netherlands/4/2022_HA_H5N1_HPAI|EPI2088895	2022-06-19	North-Central
HA|A/European_Herring_Gull/Netherlands/5/2022_HA_H5N1_HPAI|EPI2088918	2022-06-07	North-Central
