Sequence ID	Sequence name	Collection date	Region	Database
EPI2050365	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/Ohio/22-009419-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_compl|EPI2050365"	2022-03-26	Central	GISAID
EPI2050373	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/South_Dakota/22-009534-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene|EPI2050373"	2022-03-29	Central	GISAID
EPI2050381	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/Iowa/22-009550-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_comple|EPI2050381"	2022-03-29	Central	GISAID
EPI2050397	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/North_Carolina/22-009583-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_ge|EPI2050397"	2022-03-27	South	GISAID
EPI2050413	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/Wyoming/22-009599-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_co|EPI2050413"	2022-03-26	Central	GISAID
EPI2013893	"HA|Seq4_A/chicken/Maryland/22-006578-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_complete_cds.|EPI2013893"	2022-03-03	Central	GISAID
EPI2013885	"HA|Seq4_A/chicken/Maryland/22-006578-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_complete_cds.|EPI2013885"	2022-03-03	Central	GISAID
EPI2014173	HA|Seq4_A/chicken/Maine/22-008064-002-original/2022(H5N1)|EPI2014173	2022-03-15	Central	GISAID
EPI2014189	HA|Seq4_A/chicken/Kansas/22-008114-002-original/2022(H5N1)|EPI2014189	2022-03-16	Central	GISAID
EPI2014181	HA|Seq4_A/duck/Kansas/22-008114-001-original/2022(H5N1)|EPI2014181	2022-03-16	Central	GISAID
EPI2014141	HA|Seq4_A/turkey/New_Hampshire/22-007886-001-original/2022(H5N1)|EPI2014141	2022-03-15	Central	GISAID
EPI2014133	HA|Seq4_A/waterfowl/Nebraska/22-007805-002-original/2022(H5N1)|EPI2014133	2022-03-14	Central	GISAID
EPI2014197	HA|Seq4_A/chicken/Iowa/22-008176-003-original/2022(H5N1)|EPI2014197	2022-03-17	Central	GISAID
EPI2014045	HA|Seq4_A/chicken/turkey_pool/Kansas/22-007391-002-original/2022(H5N1)|EPI2014045	2022-03-09	Central	GISAID
EPI2014013	HA|Seq4_A/chicken/Iowa/22-007376-001-original/2022(H5N1)|EPI2014013	2022-03-10	Central	GISAID
EPI2014029	HA|Seq4_A/guinea_fowl/Illinois/22-007382-001-original/2022(H5N1)|EPI2014029	2022-03-09	Central	GISAID
EPI2014109	HA|Seq4_A/chicken/Missouri/22-007677-001-original/2022(H5N1)|EPI2014109	2022-03-14	Central	GISAID
