Sequence ID	Sequence name	Collection date	Region	Database
EPI2062295	HA|A/white-tailed_eagle/Iceland/2022AI02104/2021|EPI2062295	2021-10-25	North-Central	GISAID
EPI2882913	HA|A/goose/France/PPNL-21P007579/2021_HA|EPI2882913	2021-03-17	South-Western	GISAID
EPI2018060	HA|A/Fox/Netherlands/EMC1/2022|EPI2018060	2022-01-26	North-Central	GISAID
EPI1982529	HA|A/European_Herring_Gull/Sweden/SVA211116SZ0432/FB004518/2021|EPI1982529	2021-11-08	North-Eastern	GISAID
EPI2042013	HA|A/laying_hen/Romania/11343_22VIR4106-1/2022_HA|EPI2042013	2022-03-18	North-Central	GISAID
EPI1938836	HA|A/common_buzzard/Sweden/SVA211111SZ0376/FB004484/2021|EPI1938836	2021-11-09	North-Eastern	GISAID
EPI2042034	HA|A/laying_hen/Romania/11562_22VIR4106-4/2022_HA|EPI2042034	2022-03-26	North-Central	GISAID
EPI2042020	HA|A/pelican/Romania/11335_22VIR4106-2/2022_HA|EPI2042020	2022-03-17	North-Central	GISAID
EPI1965261	HA|2022-wk04-01_HA_H5|EPI1965261	2022-01-04	North-Central	GISAID
EPI2042027	HA|A/pelican/Romania/11334_22VIR4106-3/2022_HA|EPI2042027	2022-03-17	North-Central	GISAID
EPI1965269	HA|2022-wk04-04_HA_H5|EPI1965269	2022-01-06	North-Central	GISAID
EPI2062301	HA|A/chicken/Iceland/2022AI02564/2022|EPI2062301	2022-04-14	North-Central	GISAID
EPI1938844	HA|A/barnacle_goose/Sweden/SVA211111SZ0376/FB004496/2021|EPI1938844	2021-11-01	North-Eastern	GISAID
EPI2100179	HA|A/chicken/Czech_Republic/8028-2/2022|EPI2100179	2022-04-13	North-Central	GISAID
EPI1990448	HA|2022-wk09-10_HA_H5|EPI1990448	2022-02-01	North-Central	GISAID
EPI1990440	HA|2022-wk09-09_HA_H5|EPI1990440	2022-01-18	North-Central	GISAID
EPI1990432	HA|2022-wk09-08_HA_H5|EPI1990432	2021-12-23	North-Central	GISAID
EPI1990424	HA|2022-wk09-07_HA_H5|EPI1990424	2022-01-29	North-Central	GISAID
EPI1938852	HA|A/greylag_goose_/Sweden/SVA211111SZ0376/FB004497/M-2021|EPI1938852	2021-11-08	North-Eastern	GISAID
EPI2097278	HA|A/Eurasian_Curlew/Netherlands/2/2022_HA_H5N1_HPAI|EPI2097278	2022-07-03	North-Central	GISAID
EPI1922851	HA|A/barnacle_goose/Denmark/17572-1.01/2021-03-01|EPI1922851	2021-03-01	North-Eastern	GISAID
EPI1859739	HA|A/barnacle_goose/Netherlands/21024066-001/2021|EPI1859739	2021-02-22	North-Central	GISAID
EPI1995282	HA|2022-wk07-01_HA_H5|EPI1995282	2022-02-07	North-Central	GISAID
EPI1938868	HA|A/greylag_goose_/Sweden/SVA211118SZ0354/FB004497/I-2021|EPI1938868	2021-11-17	North-Eastern	GISAID
EPI1924796	HA|A/duck/Netherlands/21037958-001005/2021|EPI1924796	2021-11-03	North-Central	GISAID
