Sequence ID	Sequence name	Collection date	Region	Database
EPI2150878	HA|A/Sandwich_tern/Sweden/SVA220623SZ0237/FB001997/K-2022|EPI2150878	2022-06-09	North-Eastern	GISAID
EPI2150886	HA|A/Pigeon/Sweden/SVA220701SZ0238/FB002074/C-2022|EPI2150886	2022-06-30	North-Eastern	GISAID
EPI2150870	HA|A/northern_gannet/Sweden/SVA220623SZ0232/FB001984/N-2022|EPI2150870	2022-06-15	North-Eastern	GISAID
EPI2150918	HA|A/black-headed_gull/Sweden/SVA220616SZ0350/FB001880/M-2022|EPI2150918	2022-06-04	North-Eastern	GISAID
EPI2208426	HA|A/Gallus_gallus/Belgium/10968_0005/2022|EPI2208426	2022-09-19	North-Central	GISAID
EPI2208346	HA|A/Pavo/Belgium/10906_0006/2022|EPI2208346	2022-09-18	North-Central	GISAID
EPI2297217	HA|A/Phasianus_colchicus/Belgium/10993-0003/2022|EPI2297217	2022-11-15	North-Central	GISAID
EPI2352324	HA|A/Peregrine_falcon/Netherlands/2/2023_HPAI_H5|EPI2352324	2022-12-31	North-Central	GISAID
EPI2296781	HA|A/Otus_scops/Belgium/13463-0002/2022|EPI2296781	2022-11-21	North-Central	GISAID
EPI2296773	HA|A/Gallus_gallus/Belgium/13357-0001/2022|EPI2296773	2022-11-18	North-Central	GISAID
EPI2416456	HA|2023-wk08-05_HA_H5|EPI2416456	2023-02-06	North-Central	GISAID
EPI2312568	HA|A/chicken/Czech_Republic/22911-1/2022|EPI2312568	2022-12-08	North-Central	GISAID
EPI2297256	HA|A/Vulpes_vulpes/Belgium/14775-0001/2022|EPI2297256	2022-12-08	North-Central	GISAID
EPI2297248	HA|A/Phasianus_colchicus/Belgium/12352-0002/2022|EPI2297248	2022-10-17	North-Central	GISAID
EPI2208903	HA|A/Ardea_cinerea/Belgium/11304_0003/2022|EPI2208903	2022-09-23	North-Central	GISAID
EPI2208895	HA|A/Gallus_gallus/Belgium/11248_0001/2022|EPI2208895	2022-09-26	North-Central	GISAID
EPI2222196	HA|A/peafowl/_Croatia/123/2022|EPI2222196	2022-11-10	North-Central	GISAID
EPI2222197	HA|A/mute_swan/Croatia/125/2022|EPI2222197	2022-11-10	North-Central	GISAID
EPI2222198	HA|A/mute_swan/Croatia/126/2022|EPI2222198	2022-11-11	North-Central	GISAID
EPI2122817	HA|A/Buteo_buteo/belgium/334_0013/2021|EPI2122817	2021-12-24	North-Central	GISAID
EPI2197371	HA|A/domestic_goose/Poland/H397-N/2022|EPI2197371	2022-09-20	North-Eastern	GISAID
EPI2208911	HA|A/Cygnus_olor/Belgium/11304_0009/2022|EPI2208911	2022-09-21	North-Central	GISAID
EPI2332833	HA|A/Buteo_buteo/Belgium/00331-0007/2022|EPI2332833	2022-01-03	North-Central	GISAID
EPI2208935	HA|A/Gallus_gallus/Belgium/11943_0003/2022|EPI2208935	2022-10-10	North-Central	GISAID
EPI2122833	HA|A/Tachybaptus_ruficollis/Belgium/1234_0008/2022|EPI2122833	2022-01-24	North-Central	GISAID
EPI2122825	HA|A/Larus_argentatus/Belgium/595_0008/2022|EPI2122825	2022-01-06	North-Central	GISAID
EPI2208919	HA|A/Gallus_gallus/Belgium/11387_0002/2022|EPI2208919	2022-09-29	North-Central	GISAID
EPI2214953	HA|A/common_buzzard/Sweden/SVA221102SZ0478/FB004505/M-2022|EPI2214953	2022-10-26	North-Eastern	GISAID
EPI2208927	HA|A/Gallus_gallus/Belgium/11445_0002/2022|EPI2208927	2022-10-01	North-Central	GISAID
EPI2334732	HA|A/Aythya_fuligula/Belgium/10064-0005/2022|EPI2334732	2022-08-18	North-Central	GISAID
EPI2461805	HA|A/Black-headed_gull/Netherlands/10/2023_HA_H5N1_HPAI|EPI2461805	2023-02-19	North-Central	GISAID
EPI2461857	HA|A/Eurasian_oystercatcher/Netherlands/1/2023_HA_H5N1_HPAI|EPI2461857	2023-02-26	North-Central	GISAID
EPI2461864	HA|A/European_herring_gull/Netherlands/4/2023_HA_H5N1_HPAI|EPI2461864	2023-02-20	North-Central	GISAID
EPI2461841	HA|A/Black-headed_gull/Netherlands/8/2023_HA_H5N1_HPAI|EPI2461841	2023-02-20	North-Central	GISAID
EPI2461828	HA|A/Black-headed_gull/Netherlands/13/2023_HA_H5N1_HPAI|EPI2461828	2023-02-28	North-Central	GISAID
EPI2461833	HA|A/Black-headed_gull/Netherlands/7/2023_HA_H5N1_HPAI|EPI2461833	2023-02-17	North-Central	GISAID
EPI2461813	HA|A/Black-headed_gull/Netherlands/11/2023_HA_H5N1_HPAI|EPI2461813	2023-02-19	North-Central	GISAID
EPI2461820	HA|A/Black-headed_gull/Netherlands/12/2023_HA_H5N1_HPAI|EPI2461820	2023-02-24	North-Central	GISAID
EPI2461878	HA|A/European_herring_gull/Netherlands/7/2023_HA_H5N1_HPAI|EPI2461878	2023-02-20	North-Central	GISAID
EPI2461884	HA|A/Great_black-backed_gull/Netherlands/2/2023_HA_H5N1_HPAI|EPI2461884	2023-02-20	North-Central	GISAID
EPI2461868	HA|A/European_herring_gull/Netherlands/5/2023_HA_H5N1_HPAI|EPI2461868	2023-02-20	North-Central	GISAID
EPI2461873	HA|A/European_herring_gull/Netherlands/6/2023_HA_H5N1_HPAI|EPI2461873	2023-02-20	North-Central	GISAID
EPI2122860	HA|A/Larus_canus/Belgium/1668_0019/2022|EPI2122860	2022-01-21	North-Central	GISAID
EPI2122868	HA|A/Phalacrocorax_carbo/Belgium/1734_0002/2022|EPI2122868	2022-02-02	North-Central	GISAID
EPI2306957	HA|221221_106_H5N1_67P_Seg4_HA|EPI2306957	2022-11-04	North-Eastern	GISAID
EPI2306901	HA|221221_106_H5N1_57P_Seg4_HA|EPI2306901	2022-08-25	North-Eastern	GISAID
EPI2306877	HA|221221_106_H5N1_54P_Seg4_HA|EPI2306877	2022-08-25	North-Eastern	GISAID
EPI2306837	HA|221221_106_H5N1_49P_Seg4_HA|EPI2306837	2022-08-25	North-Eastern	GISAID
EPI2306805	HA|221221_106_H5N1_45P_Seg4_HA|EPI2306805	2022-10-12	North-Eastern	GISAID
EPI2306709	HA|221221_106_H5N1_32P_Seg4_HA|EPI2306709	2022-08-17	North-Eastern	GISAID
EPI2306701	HA|221221_106_H5N1_31P_Seg4_HA|EPI2306701	2022-09-15	North-Eastern	GISAID
EPI2306717	HA|221221_106_H5N1_33P_Seg4_HA|EPI2306717	2022-08-17	North-Eastern	GISAID
EPI2306677	HA|221221_106_H5N1_28P_Seg4_HA|EPI2306677	2022-09-15	North-Eastern	GISAID
EPI2306661	HA|221221_106_H5N1_26P_Seg4_HA|EPI2306661	2022-09-15	North-Eastern	GISAID
EPI2306621	HA|221221_106_H5N1_21P_Seg4_HA|EPI2306621	2022-09-15	North-Eastern	GISAID
EPI2306589	HA|221221_106_H5N1_17P_Seg4_HA|EPI2306589	2022-07-28	North-Eastern	GISAID
EPI2306605	HA|221221_106_H5N1_19P_Seg4_HA|EPI2306605	2022-09-15	North-Eastern	GISAID
EPI2137774	HA|2022-wk33-20_HA_H5|EPI2137774	2022-07-25	North-Central	GISAID
EPI2137792	HA|2022-wk33-23_HA_H5|EPI2137792	2022-07-14	North-Central	GISAID
EPI2137783	HA|2022-wk33-21_HA_H5|EPI2137783	2022-07-24	North-Central	GISAID
EPI2414931	HA|A/Eurasian_wigeon/Italy/22VIR12556-3/2022_HA|EPI2414931	2022-11-29	South-Western	GISAID
EPI2414924	HA|A/swan/Italy/22VIR12326-1/2022_HA|EPI2414924	2022-11-27	South-Western	GISAID
EPI2414917	HA|A/wild_goose/Italy/22VIR12222-2/2022_HA|EPI2414917	2022-11-25	South-Western	GISAID
EPI2414910	HA|A/grey_heron/Italy/22VIR12939-3/2022_HA|EPI2414910	2022-11-20	South-Western	GISAID
EPI2414959	HA|A/swan/Italy/23VIR147-2/2022_HA|EPI2414959	2022-12-29	South-Western	GISAID
EPI2414952	HA|A/teal/Italy/22VIR12727-1/2022_HA|EPI2414952	2022-12-11	South-Western	GISAID
EPI2414945	HA|A/Eurasian_wigeon/Italy/22VIR12328-1/2022_HA|EPI2414945	2022-12-01	South-Western	GISAID
EPI2414938	HA|A/greater_white-fronted_goose/Italy/22VIR12557-4/2022_HA|EPI2414938	2022-11-29	South-Western	GISAID
EPI2414987	HA|A/black-headed_gull/Italy/23VIR1102-4/2023_HA|EPI2414987	2023-01-30	South-Western	GISAID
EPI2414966	HA|A/buzzard/Italy/23VIR440-2/2023_HA|EPI2414966	2023-01-04	South-Western	GISAID
EPI2392771	HA|A/Black-headed_gull/Netherlands/3/2023_HA_H5N1_HPAI|EPI2392771	2023-01-28	North-Central	GISAID
EPI2187561	HA|2022-wk39-05_HA_H5|EPI2187561	2022-08-20	North-Central	GISAID
EPI2187569	HA|2022-wk39-06_HA_H5|EPI2187569	2022-09-01	North-Central	GISAID
EPI2122909	HA|A/Buteo_buteo/Belgium/2606_0006/2022|EPI2122909	2022-02-20	North-Central	GISAID
EPI2242308	HA|A/black-headed_gull/Germany-HH/AI03795/2022|EPI2242308	2022-07-02	North-Central	GISAID
EPI2242317	HA|A/black-headed_gull/Germany-NI/AI04164/2022|EPI2242317	2022-07-04	North-Central	GISAID
EPI2242291	HA|A/artic_tern/Germany-SH/AI03798/2022|EPI2242291	2022-06-30	North-Central	GISAID
EPI2242299	HA|A/black-headed_gull/Germany-BY/AI01062/2022|EPI2242299	2022-02-07	North-Central	GISAID
EPI2122917	HA|A/Branta_leucopsis/Belgium/2606_0009/2022|EPI2122917	2022-02-17	North-Central	GISAID
EPI2196496	HA|2022-wk42-12_HA_H5|EPI2196496	2022-09-30	North-Central	GISAID
EPI2196504	HA|2022-wk42-09_HA_H5|EPI2196504	2022-08-18	North-Central	GISAID
EPI2182152	HA|A/wigeon/Sakhalin/37M/2021|EPI2182152	2021-09-17	North-Eastern	GISAID
EPI2122952	HA|A/Fox/Netherlands/EMC5/2022_HA_H5N1_HPAI|EPI2122952	2022-02-09	North-Central	GISAID
EPI2122945	HA|A/Fox/Netherlands/EMC4/2022_HA_H5N1_HPAI|EPI2122945	2022-04-02	North-Central	GISAID
EPI2114010	HA|A/European_Herring_Gull/Netherlands/8/2022_HA_H5N1_HPAI|EPI2114010	2022-07-07	North-Central	GISAID
EPI2114018	HA|A/Caspian_Gull/Netherlands/5/2022_HA_H5N1_HPAI|EPI2114018	2022-07-08	North-Central	GISAID
EPI2114026	HA|A/European_Herring_Gull/Netherlands/9/2022_HA_H5N1_HPAI|EPI2114026	2022-07-04	North-Central	GISAID
EPI2114034	HA|A/Greylag_Goose/Netherlands/9/2022_HA_H5N1_HPAI|EPI2114034	2022-07-12	North-Central	GISAID
EPI2122972	HA|A/Branta_canadensis/Belgium/4821_0001/2022|EPI2122972	2022-04-07	North-Central	GISAID
EPI2167230	HA|A/black-headed_gull/Poland/MB139/2022|EPI2167230	2022-05-30	North-Eastern	GISAID
EPI2122980	HA|A/Branta_canadensis/Belgium/5177_0003/2022|EPI2122980	2022-04-13	North-Central	GISAID
EPI2167214	HA|A/common_murre/Poland/MB151/2022|EPI2167214	2022-07-13	North-Eastern	GISAID
EPI2167198	HA|A/breeding_hen/Poland/H364/2022|EPI2167198	2022-07-21	North-Eastern	GISAID
EPI2242456	HA|A/common_tern/Germany-NI/AI04284/2022|EPI2242456	2022-07-14	North-Central	GISAID
EPI2468380	HA|A/Vulpes_vulpes/Belgium/01784_0004/2023|EPI2468380	2023-02-27	North-Central	GISAID
EPI2215020	HA|A/Mute_Swan/Sweden/SVA221012SZ0348/FB004113/M-2022|EPI2215020	2022-10-05	North-Eastern	GISAID
EPI2468396	HA|A/Vulpes_vulpes/Belgium/01784_0010/2023|EPI2468396	2023-02-27	North-Central	GISAID
EPI2468388	HA|A/Vulpes_vulpes/Belgium/01784_0008/2023|EPI2468388	2023-02-27	North-Central	GISAID
EPI2468412	HA|A/Gallus_gallus/Belgium/01688_0004/2023|EPI2468412	2023-02-23	North-Central	GISAID
EPI2468404	HA|A/Vulpes_vulpes/Belgium/01924_0003/2023|EPI2468404	2023-03-02	North-Central	GISAID
EPI2292976	HA|A/European_herring_gull/Netherlands/21/2022_HA_H5N1_HPAI|EPI2292976	2022-12-27	North-Central	GISAID
EPI2292960	HA|A/Caspian_gull/Netherlands/1/2023_HA_H5N1_HPAI|EPI2292960	2023-01-01	North-Central	GISAID
EPI2417020	HA|BC81[H5]|EPI2417020	2023-02-16	North-Central	GISAID
EPI2417044	HA|BC91[H5]|EPI2417044	2023-02-16	North-Central	GISAID
EPI2417060	HA|BC90[H5]|EPI2417060	2023-02-17	North-Central	GISAID
EPI2468372	HA|A/Gallus_gallus/Belgium/01434_0001/2023|EPI2468372	2023-02-15	North-Central	GISAID
EPI2475707	HA|A/Mute_swan/Sweden/SVA230224SZ9282/FB000471/AC-2023|EPI2475707	2023-02-19	North-Eastern	GISAID
EPI2475699	HA|A/common_buzzard/Sweden/SVA230222SZ0354/FB000430/M-2023|EPI2475699	2023-01-23	North-Eastern	GISAID
EPI2475715	HA|A/barnacle_goose/Sewden/SVA230314SZ0438/KN000701/K-2023|EPI2475715	2023-03-13	North-Eastern	GISAID
EPI2138727	HA|2022-wk30-10_HA_H5|EPI2138727	2022-07-21	North-Central	GISAID
EPI2248055	HA|A/goose/Cyprus/746-1_22VIR12133-3/2022_HA|EPI2248055	2022-11-25	North-Central	GISAID
EPI2248039	HA|A/duck/Cyprus/752-2_22VIR12133-13/2022_HA|EPI2248039	2022-11-28	North-Central	GISAID
EPI2248031	HA|A/goose/Cyprus/750-3_22VIR12133-11/2022_HA|EPI2248031	2022-11-25	North-Central	GISAID
EPI2248063	HA|A/duck/Cyprus/749-1_22VIR12133-5/2022_HA|EPI2248063	2022-11-25	North-Central	GISAID
EPI2456206	HA|A/heron/Switzerland-Basel/230080/2023|EPI2456206	2023-01-17	South-Western	GISAID
EPI2456193	HA|A/peacock/Switzerland-Zurich/221192/2022|EPI2456193	2022-11-16	South-Western	GISAID
EPI2456201	HA|A/swan/Switzerland-Ticino/221214/2022|EPI2456201	2022-11-22	South-Western	GISAID
EPI2129756	HA|2022-wk33-06_HA_H5|EPI2129756	2022-07-14	North-Central	GISAID
EPI2129732	HA|2022-wk33-03_HA_H5|EPI2129732	2022-08-01	North-Central	GISAID
EPI2129748	HA|2022-wk33-05_HA_H5|EPI2129748	2022-06-03	North-Central	GISAID
EPI2129740	HA|2022-wk33-04_HA_H5|EPI2129740	2022-07-18	North-Central	GISAID
EPI2293024	HA|A/northern_gannet/Spain/22VIR12774-4_3104-40/2022_HA|EPI2293024	2022-08-30	South-Western	GISAID
EPI2293000	HA|A/Anser_anser/Spain/22VIR12774-41_3803-4/2022_HA|EPI2293000	2022-10-18	South-Western	GISAID
EPI2293008	HA|A/wild_goose/Spain/22VIR12774-43_4213-1/2022_HA|EPI2293008	2022-11-08	South-Western	GISAID
EPI2293016	HA|A/swan/Spain/22VIR12774-45_4382-2/2022_HA|EPI2293016	2022-11-21	South-Western	GISAID
EPI2292992	HA|A/Ciconia_ciconia/Spain/22VIR12774-40_3803-2/2022_HA|EPI2292992	2022-10-18	South-Western	GISAID
EPI2136047	HA|A/vulture/France/22P018210/2022|EPI2136047	2022-05-09	South-Western	GISAID
EPI2456214	HA|A/gull/Switzerland-Luzern/230119/2023|EPI2456214	2023-01-25	South-Western	GISAID
EPI2129816	HA|A/Vulpes_vulpes/Belgium/8660_0016/2022|EPI2129816	2022-04-16	North-Central	GISAID
EPI2178614	HA|A/northern_gannet/Sweden/SVA220701SZ0245/FB002065/N-2022|EPI2178614	2022-06-01	North-Eastern	GISAID
EPI2178590	HA|A/northern_fulmar/Sweden/SVA220628SZ0328/FB002021/O-2022|EPI2178590	2022-07-04	North-Eastern	GISAID
EPI2178598	HA|A/white-tailed_eagle/Sweden/SVA220629SZ0296/FB002045/I-2022|EPI2178598	2022-05-24	North-Eastern	GISAID
EPI2178606	HA|A/northern_gannet/Sweden/SVA220630SZ0368/FB002052/N-2022|EPI2178606	2022-06-29	North-Eastern	GISAID
EPI2415390	HA|A/Chroicocephalus_ridibundus/Belgium/00226_0001/2023|EPI2415390	2023-01-02	North-Central	GISAID
EPI2415398	HA|A/ Anser_brachyrhynchus/Belgium/14776_0001/2022|EPI2415398	2022-12-15	North-Central	GISAID
EPI2415407	HA|A/Branta_canadensis/Belgium/10598_0003/2022|EPI2415407	2022-08-29	North-Central	GISAID
EPI2129824	HA|A/Larus_argentatus/Belgium/9013_0001/2022|EPI2129824	2022-07-08	North-Central	GISAID
EPI2178630	HA|A/northern_gannet/Sweden/SVA220701SZ0245/FB002073/O-2022|EPI2178630	2022-06-15	North-Eastern	GISAID
EPI2178638	HA|A/northern_gannet/Sweden/SVA220704SZ0158/FB002085/M-2022|EPI2178638	2022-07-04	North-Eastern	GISAID
EPI2281678	HA|A/cat/France/22P026544/2022|EPI2281678	2022-12-24	South-Western	GISAID
EPI2415345	HA|A/Anser_anser/Belgium/00286_0004/2023|EPI2415345	2023-01-02	North-Central	GISAID
EPI2415353	HA|A/Chroicocephalus_ridibundus/Belgium/00132_0002/2022|EPI2415353	2022-12-28	North-Central	GISAID
EPI2469498	HA|A/Mustela_putorius/Belgium/01922_0001/2023|EPI2469498	2023-03-02	North-Central	GISAID
EPI2129840	HA|A/Gallus_gallus/Belgium/9548_0001/2022|EPI2129840	2022-08-03	North-Central	GISAID
EPI2415423	HA|A/Morus_bassanus/Belgium/08182_0015/2022|EPI2415423	2022-06-22	North-Central	GISAID
EPI2129832	HA|A/Vulpes_vulpes/Belgium/9031_0008/2022|EPI2129832	2022-06-16	North-Central	GISAID
EPI2120775	HA|2022-wk31-10_HA_H5|EPI2120775	2022-07-07	North-Central	GISAID
EPI2120783	HA|2022-wk31-11_HA_H5|EPI2120783	2022-07-05	North-Central	GISAID
EPI2120767	HA|2022-wk31-09_HA_H5|EPI2120767	2022-07-09	North-Central	GISAID
EPI2120791	HA|2022-wk31-12_HA_H5|EPI2120791	2022-07-01	North-Central	GISAID
EPI2178646	HA|A/northern_gannet/Sweden/SVA220706SZ0236/FB002106/N-2022|EPI2178646	2022-06-26	North-Eastern	GISAID
EPI2456222	HA|A/blackswan/Switzerland-Zurich/230131/2023|EPI2456222	2023-02-03	South-Western	GISAID
EPI2415415	HA|A/Meleagris_gallopavo/Belgium/14826_0002/2022|EPI2415415	2022-12-24	North-Central	GISAID
EPI2249071	HA|A/chicken/Austria/2514-19_22VIR11382-1/2022|EPI2249071	2022-11-08	North-Central	GISAID
EPI2178782	HA|A/common_guillemot/Sweden/SVA220727SZ0354/FB002465/I-2022|EPI2178782	2022-07-27	North-Eastern	GISAID
EPI2178774	HA|A/Canada_goose/Sweden/SVA220726SZ0310/FB002420/O-2022|EPI2178774	2022-07-26	North-Eastern	GISAID
EPI2178766	HA|A/Gray_lag_goose/Sweden/SVA220719SZ0483/FB002374/O-2022|EPI2178766	2022-07-22	North-Eastern	GISAID
EPI2178790	HA|A/common_guillemot/Sweden/SVA220727SZ0354/FB002466/I-2022|EPI2178790	2022-07-27	North-Eastern	GISAID
EPI2299183	HA|A/Graylag_goose/Sweden/SVA230103SZ0387/FB000028/M-2022|EPI2299183	2022-12-20	North-Eastern	GISAID
EPI2299167	HA|A/Mute_swan/Sweden/SVA221222SZ0277/FB004932/E-2022|EPI2299167	2022-12-17	North-Eastern	GISAID
EPI2299151	HA|A/barnacle_goose/Sweden/SVA221202SZ0214/FB004698/M-2022|EPI2299151	2022-11-23	North-Eastern	GISAID
EPI2299141	HA|A/barnacle_goose/Sweden/SVA221130SZ0475/FB004691/M-2022|EPI2299141	2022-11-27	North-Eastern	GISAID
EPI2178838	HA|A/lesser_auk/Sweden/SVA220727SZ0362/FB002484/I-2022|EPI2178838	2022-07-14	North-Eastern	GISAID
EPI2178846	HA|A/lesser_auk/Sweden/SVA220727SZ0362/FB002485/I-2022|EPI2178846	2022-07-14	North-Eastern	GISAID
EPI2178814	HA|A/_European_herring_gull/Sweden/SVA220727SZ0357/FB002470/I-2022|EPI2178814	2022-07-15	North-Eastern	GISAID
EPI2178830	HA|A/_great_cormorant_/Sweden/SVA220727SZ0360/FB002479/I-2022|EPI2178830	2022-07-28	North-Eastern	GISAID
EPI2178806	HA|A/_European_herring_gull/Sweden/SVA220727SZ0357/FB002469/I-2022|EPI2178806	2022-07-15	North-Eastern	GISAID
EPI2119275	HA|A/Caspian_Gull/Netherlands/6/2022_HA_H5N1_HPAI|EPI2119275	2022-07-15	North-Central	GISAID
EPI2119243	HA|A/Common_Tern/Netherlands/12/2022_HA_H5N1_HPAI|EPI2119243	2022-07-14	North-Central	GISAID
EPI2119200	HA|A/Caspian_Gull/Netherlands/7/2022_HA_H5N1_HPAI|EPI2119200	2022-07-15	North-Central	GISAID
EPI2119216	HA|A/Common_Tern/Netherlands/20/2022_HA_H5N1_HPAI|EPI2119216	2022-07-22	North-Central	GISAID
EPI2119170	HA|A/Eurasian_Spoonbill/Netherlands/3/2022_HA_H5N1_HPAI|EPI2119170	2022-07-24	North-Central	GISAID
EPI2219646	HA|A/northern_gannet/Sweden/SVA221012SZ0382/FB004111/M2022|EPI2219646	2022-10-09	North-Eastern	GISAID
EPI2219655	HA|A/peregrine_falcon/Sweden/SVA221012SZ0381/FB004075/N-2022|EPI2219655	2022-09-27	North-Eastern	GISAID
EPI2156429	HA|220824_79_57_H5N1_Seg4_HA|EPI2156429	2022-06-20	North-Eastern	GISAID
EPI2156461	HA|220824_79_61_H5N1_Seg4_HA|EPI2156461	2022-07-28	North-Eastern	GISAID
EPI2156469	HA|220824_79_62_H5N1_Seg4_HA|EPI2156469	2022-07-28	North-Eastern	GISAID
EPI2207117	HA|A/chicken/Croatia/55/2022|EPI2207117	2022-05-27	North-Central	GISAID
EPI2341231	HA|2023-wk05-01_HA_H5|EPI2341231	2023-01-25	North-Central	GISAID
EPI2129863	HA|A/Eurasian_Spoonbill/Netherlands/4/2022_HA_H5N1_HPAI|EPI2129863	2022-08-10	North-Central	GISAID
EPI2197794	HA|A/European_Herring_Gull/Netherlands/19/2022_HA_H5N1_HPAI|EPI2197794	2022-09-21	North-Central	GISAID
EPI2197873	HA|A/Sanderling/Netherlands/2/2022_HA_H5N1_HPAI|EPI2197873	2022-10-09	North-Central	GISAID
EPI2197865	HA|A/Great_Black-backed_Gull/4/2022_HA_H5N1_HPAI|EPI2197865	2022-10-09	North-Central	GISAID
EPI2197833	HA|A/Mallard/Netherlands/15/2022_HA_H5N1_HPAI|EPI2197833	2022-09-21	North-Central	GISAID
EPI2197857	HA|A/Mallard/Netherlands/18/2022_HA_H5N1_HPAI|EPI2197857	2022-10-01	North-Central	GISAID
EPI2197809	HA|A/Barnacle_Goose/Netherlands/19/2022_HA_H5N1_HPAI|EPI2197809	2022-09-26	North-Central	GISAID
EPI2197801	HA|A/Greylag_Goose/Netherlands/18/2022_HA_H5N1_HPAI|EPI2197801	2022-09-25	North-Central	GISAID
EPI2197825	HA|A/European_Herring_Gull/Netherlands/20/2022_HA_H5N1_HPAI|EPI2197825	2022-10-02	North-Central	GISAID
EPI2197817	HA|A/Eurasian_Curlew/Netherlands/4/2022_HA_H5N1_HPAI|EPI2197817	2022-09-28	North-Central	GISAID
EPI2140456	HA|A/chicken/Italy/21VIR10620-1/2021_HA|EPI2140456	2021-12-02	South-Western	GISAID
EPI2140474	HA|A/chicken/Italy/21VIR10723-1/2021_HA|EPI2140474	2021-12-03	South-Western	GISAID
EPI2140509	HA|A/turkey/Italy/21VIR10636-17/2021_HA|EPI2140509	2021-12-04	South-Western	GISAID
EPI2140500	HA|A/chicken/Italy/21VIR10637-2/2021_HA|EPI2140500	2021-12-04	South-Western	GISAID
EPI2140518	HA|A/turkey/Italy/21VIR10645-15/2021_HA|EPI2140518	2021-12-05	South-Western	GISAID
EPI2179882	HA|A/swan/Lithuania/1220PG1_22VIR7255-1/2022|EPI2179882	2022-02-09	North-Eastern	GISAID
EPI2140562	HA|A/turkey/Italy/21VIR10857/2021_HA|EPI2140562	2021-12-06	South-Western	GISAID
EPI2140553	HA|A/turkey/Italy/21VIR10852/2021_HA|EPI2140553	2021-12-06	South-Western	GISAID
EPI2140571	HA|A/turkey/Italy/21VIR10854/2021_HA|EPI2140571	2021-12-06	South-Western	GISAID
EPI2140598	HA|A/turkey/Italy/21VIR10697-1/2021_HA|EPI2140598	2021-12-06	South-Western	GISAID
EPI2140669	HA|A/turkey/Italy/21VIR10929/2021_HA|EPI2140669	2021-12-07	South-Western	GISAID
EPI2140660	HA|A/chicken/Italy/21VIR10812-11/2021_HA|EPI2140660	2021-12-07	South-Western	GISAID
EPI2140695	HA|A/turkey/Italy/21VIR10757-1/2021_HA|EPI2140695	2021-12-07	South-Western	GISAID
EPI2140181	HA|A/chicken/Italy/21VIR10357/2021_HA|EPI2140181	2021-11-26	South-Western	GISAID
EPI2140172	HA|A/chicken/Italy/21VIR10358/2021_HA|EPI2140172	2021-11-26	South-Western	GISAID
EPI2140199	HA|A/chicken/Italy/21VIR10263/2021_HA|EPI2140199	2021-11-27	South-Western	GISAID
EPI2140217	HA|A/chicken/Italy/21VIR10264/2021_HA|EPI2140217	2021-11-28	South-Western	GISAID
EPI2140243	HA|A/chicken/Italy/21VIR10382/2021_HA|EPI2140243	2021-11-29	South-Western	GISAID
EPI2140270	HA|A/chicken/Italy/21VIR10394/2021_HA|EPI2140270	2021-11-29	South-Western	GISAID
EPI2140288	HA|A/turkey/Italy/21VIR10398/2021_HA|EPI2140288	2021-11-29	South-Western	GISAID
EPI2140279	HA|A/turkey/Italy/21VIR10397/2021_HA|EPI2140279	2021-11-29	South-Western	GISAID
EPI2140297	HA|A/chicken/Italy/21VIR10470/2021_HA|EPI2140297	2021-11-30	South-Western	GISAID
EPI2140332	HA|A/chicken/Italy/21VIR10469/2021_HA|EPI2140332	2021-11-30	South-Western	GISAID
EPI2140323	HA|A/chicken/Italy/21VIR10385/2021_HA|EPI2140323	2021-11-30	South-Western	GISAID
EPI2140350	HA|A/chicken/Italy/21VIR10386/2021_HA|EPI2140350	2021-11-30	South-Western	GISAID
EPI2140341	HA|A/turkey/Italy/21VIR10471/2021_HA|EPI2140341	2021-11-30	South-Western	GISAID
EPI2185352	HA|A/Common_Buzzard/Netherlands/1/2022_HA_H5N1_HPAI|EPI2185352	2022-08-17	North-Central	GISAID
EPI2139927	HA|A/chicken/Italy/21VIR9837-3/2021_HA|EPI2139927	2021-11-21	South-Western	GISAID
EPI2139967	HA|A/turkey/Italy/21VIR9996/2021_HA|EPI2139967	2021-11-22	South-Western	GISAID
EPI2185407	HA|A/Greylag_Goose/Netherlands/13/2022_HA_H5N1_HPAI|EPI2185407	2022-08-27	North-Central	GISAID
EPI2185415	HA|A/Lesser_Black-backed_Gull/Netherlands/3/2022_HA_H5N1_HPAI|EPI2185415	2022-08-29	North-Central	GISAID
EPI2139999	HA|A/turkey/Italy/21VIR10001/2021_HA|EPI2139999	2021-11-22	South-Western	GISAID
EPI2185392	HA|A/Greylag_Goose/Netherlands/11/2022_HA_H5N1_HPAI|EPI2185392	2022-08-26	North-Central	GISAID
EPI2185399	HA|A/Greylag_Goose/Netherlands/12/2022_HA_H5N1_HPAI|EPI2185399	2022-08-26	North-Central	GISAID
EPI2185376	HA|A/Northern_Gannet/Netherlands/1/2022_HA_H5N1_HPAI|EPI2185376	2022-08-23	North-Central	GISAID
EPI2140007	HA|A/chicken/Italy/21VIR9998/2021_HA|EPI2140007	2021-11-22	South-Western	GISAID
EPI2185384	HA|A/Greylag_Goose/Netherlands/10/2022_HA_H5N1_HPAI|EPI2185384	2022-08-26	North-Central	GISAID
EPI2185360	HA|A/European_Herring_Gull/Netherlands/13/2022_HA_H5N1_HPAI|EPI2185360	2022-08-19	North-Central	GISAID
